action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,SAL034,monitor,36,22.1,Proposed
ACT0002,SAL023,monitor,4,2.3,Proposed
ACT0003,SAL017,escalate,31,14.3,Ready
ACT0004,SAL016,validate,42,2.4,Complete
ACT0005,SAL031,prioritize,42,20.9,Proposed
ACT0006,SAL033,monitor,41,9.8,In Review
ACT0007,SAL002,automate,36,12.1,Ready
ACT0008,SAL033,validate,8,19.9,Ready
ACT0009,SAL028,automate,31,13.3,Complete
ACT0010,SAL026,prioritize,11,14.7,Ready
ACT0011,SAL022,monitor,36,2.8,In Review
ACT0012,SAL026,automate,9,11.2,Ready
ACT0013,SAL016,prioritize,32,11.5,Ready
ACT0014,SAL028,automate,11,7.1,Proposed
ACT0015,SAL036,escalate,15,15.2,Ready
ACT0016,SAL036,validate,33,11.8,Complete
ACT0017,SAL003,monitor,23,10.3,In Review
ACT0018,SAL025,escalate,25,5.6,In Review
ACT0019,SAL020,validate,2,13.0,Ready
ACT0020,SAL012,validate,27,16.5,Proposed
ACT0021,SAL029,automate,33,18.8,Proposed
ACT0022,SAL003,validate,35,6.9,In Review
ACT0023,SAL019,document,16,19.7,Proposed
ACT0024,SAL017,monitor,3,10.5,In Review
ACT0025,SAL025,escalate,3,4.5,Proposed
ACT0026,SAL015,validate,2,11.2,Complete
ACT0027,SAL027,monitor,28,19.4,Ready
ACT0028,SAL036,escalate,10,11.1,Complete
ACT0029,SAL021,monitor,8,20.8,Ready
ACT0030,SAL006,monitor,18,21.5,Proposed
ACT0031,SAL014,document,31,9.5,Complete
ACT0032,SAL005,monitor,24,22.6,In Review
ACT0033,SAL033,automate,18,23.3,Proposed
ACT0034,SAL001,document,9,13.6,In Review
ACT0035,SAL012,escalate,31,8.7,Ready
ACT0036,SAL036,prioritize,16,14.7,Complete
ACT0037,SAL003,validate,9,11.5,In Review
ACT0038,SAL005,validate,39,8.8,Proposed
ACT0039,SAL028,prioritize,31,10.7,In Review
ACT0040,SAL033,monitor,35,12.6,Proposed
ACT0041,SAL032,prioritize,26,10.5,Ready
ACT0042,SAL011,document,2,12.9,Complete
ACT0043,SAL003,automate,8,7.3,Ready
ACT0044,SAL019,prioritize,33,23.3,Proposed
ACT0045,SAL019,validate,41,13.4,Ready
ACT0046,SAL031,escalate,39,8.8,In Review
ACT0047,SAL023,document,27,15.1,Proposed
ACT0048,SAL028,escalate,4,9.9,Complete
ACT0049,SAL035,monitor,41,4.0,In Review
ACT0050,SAL002,escalate,26,19.9,In Review
ACT0051,SAL022,document,4,21.9,Proposed
ACT0052,SAL015,monitor,22,20.4,Complete
ACT0053,SAL016,escalate,43,14.5,Complete
ACT0054,SAL016,document,31,23.8,In Review
ACT0055,SAL028,monitor,24,15.7,In Review
ACT0056,SAL033,monitor,4,13.9,In Review
ACT0057,SAL027,validate,14,19.4,Complete
ACT0058,SAL031,escalate,39,10.1,In Review
ACT0059,SAL032,document,21,4.1,Complete
ACT0060,SAL020,document,40,6.6,Ready
ACT0061,SAL018,validate,27,5.7,In Review
ACT0062,SAL012,monitor,40,14.5,Complete
ACT0063,SAL029,monitor,21,20.4,Ready
ACT0064,SAL027,prioritize,31,4.2,Ready
ACT0065,SAL010,monitor,41,9.9,Ready
ACT0066,SAL020,monitor,34,17.6,In Review
ACT0067,SAL036,automate,19,13.2,In Review
ACT0068,SAL031,prioritize,38,2.2,In Review
ACT0069,SAL022,monitor,5,8.4,Proposed
ACT0070,SAL003,automate,27,13.7,Complete
ACT0071,SAL031,escalate,32,23.9,Proposed
ACT0072,SAL015,prioritize,4,13.9,Proposed
ACT0073,SAL013,automate,27,16.5,Ready
ACT0074,SAL001,document,37,15.4,Proposed
ACT0075,SAL019,monitor,12,7.7,Proposed
ACT0076,SAL030,prioritize,33,3.1,Proposed
ACT0077,SAL010,automate,28,4.7,In Review
ACT0078,SAL012,document,4,4.7,Complete
ACT0079,SAL005,monitor,35,2.8,Ready
ACT0080,SAL028,monitor,12,21.2,Ready
ACT0081,SAL021,document,40,21.6,In Review
ACT0082,SAL027,escalate,20,22.8,Proposed
ACT0083,SAL024,automate,14,11.2,Complete
ACT0084,SAL016,validate,32,18.6,In Review
ACT0085,SAL014,automate,11,11.7,Proposed
ACT0086,SAL030,automate,3,4.5,In Review
ACT0087,SAL010,validate,17,22.2,Ready
ACT0088,SAL002,prioritize,21,14.5,Proposed
ACT0089,SAL012,validate,43,13.0,In Review
ACT0090,SAL032,validate,37,21.3,Proposed
ACT0091,SAL008,escalate,35,15.9,Ready
ACT0092,SAL035,document,4,19.2,In Review
ACT0093,SAL005,document,8,14.6,In Review
ACT0094,SAL022,monitor,29,21.9,Complete
ACT0095,SAL021,escalate,26,13.0,Complete
ACT0096,SAL034,prioritize,41,7.9,Proposed
ACT0097,SAL011,validate,30,16.4,Complete
ACT0098,SAL032,validate,10,10.0,Ready
ACT0099,SAL021,automate,15,20.1,Complete
ACT0100,SAL005,automate,19,10.3,In Review
ACT0101,SAL021,escalate,23,21.5,In Review
ACT0102,SAL034,validate,36,22.4,Ready
ACT0103,SAL031,document,39,13.7,Proposed
ACT0104,SAL015,prioritize,10,9.9,In Review
ACT0105,SAL005,escalate,26,8.5,Ready
ACT0106,SAL022,prioritize,43,23.1,In Review
ACT0107,SAL011,monitor,8,22.0,Ready
ACT0108,SAL028,document,12,15.5,Proposed
ACT0109,SAL001,prioritize,18,21.5,In Review
