store_id,retailer_id,retailer,channel,region,store_format,trade_area_index
RTL01-NO-01,RTL01,MetroMart,Grocery,Northeast,Flagship,0.7
RTL01-NO-02,RTL01,MetroMart,Grocery,Northeast,Core,0.89
RTL01-NO-03,RTL01,MetroMart,Grocery,Northeast,Core,1.15
RTL01-NO-04,RTL01,MetroMart,Grocery,Northeast,Core,1.02
RTL01-NO-05,RTL01,MetroMart,Grocery,Northeast,Core,0.72
RTL01-NO-06,RTL01,MetroMart,Grocery,Northeast,Ecommerce node,0.69
RTL01-MI-01,RTL01,MetroMart,Grocery,Midwest,Flagship,0.92
RTL01-MI-02,RTL01,MetroMart,Grocery,Midwest,Ecommerce node,0.85
RTL01-MI-03,RTL01,MetroMart,Grocery,Midwest,Ecommerce node,0.72
RTL01-MI-04,RTL01,MetroMart,Grocery,Midwest,Small format,1.05
RTL01-MI-05,RTL01,MetroMart,Grocery,Midwest,Flagship,1.06
RTL01-MI-06,RTL01,MetroMart,Grocery,Midwest,Small format,1.03
RTL01-SO-01,RTL01,MetroMart,Grocery,South,Flagship,0.78
RTL01-SO-02,RTL01,MetroMart,Grocery,South,Flagship,0.77
RTL01-SO-03,RTL01,MetroMart,Grocery,South,Flagship,0.88
RTL01-SO-04,RTL01,MetroMart,Grocery,South,Ecommerce node,0.85
RTL01-SO-05,RTL01,MetroMart,Grocery,South,Core,1.14
RTL01-SO-06,RTL01,MetroMart,Grocery,South,Small format,0.68
RTL01-WE-01,RTL01,MetroMart,Grocery,West,Core,0.84
RTL01-WE-02,RTL01,MetroMart,Grocery,West,Ecommerce node,1.04
RTL01-WE-03,RTL01,MetroMart,Grocery,West,Core,0.85
RTL01-WE-04,RTL01,MetroMart,Grocery,West,Small format,0.77
RTL01-WE-05,RTL01,MetroMart,Grocery,West,Small format,0.75
RTL01-WE-06,RTL01,MetroMart,Grocery,West,Core,0.95
RTL02-NO-01,RTL02,Value Basket,Mass,Northeast,Small format,1.16
RTL02-NO-02,RTL02,Value Basket,Mass,Northeast,Core,1.15
RTL02-NO-03,RTL02,Value Basket,Mass,Northeast,Flagship,0.94
RTL02-NO-04,RTL02,Value Basket,Mass,Northeast,Core,0.97
RTL02-NO-05,RTL02,Value Basket,Mass,Northeast,Core,1.2
RTL02-NO-06,RTL02,Value Basket,Mass,Northeast,Core,0.93
RTL02-MI-01,RTL02,Value Basket,Mass,Midwest,Small format,1.06
RTL02-MI-02,RTL02,Value Basket,Mass,Midwest,Ecommerce node,1.04
RTL02-MI-03,RTL02,Value Basket,Mass,Midwest,Ecommerce node,1.05
RTL02-MI-04,RTL02,Value Basket,Mass,Midwest,Core,0.96
RTL02-MI-05,RTL02,Value Basket,Mass,Midwest,Core,1.12
RTL02-MI-06,RTL02,Value Basket,Mass,Midwest,Ecommerce node,0.95
RTL02-SO-01,RTL02,Value Basket,Mass,South,Core,1.1
RTL02-SO-02,RTL02,Value Basket,Mass,South,Ecommerce node,1.42
RTL02-SO-03,RTL02,Value Basket,Mass,South,Core,0.9
RTL02-SO-04,RTL02,Value Basket,Mass,South,Small format,1.21
